"地区编码",单位名称,邮政编码,详细地址,评估定级情况,总藏量,电子图书,书架单层总长度,本年新增藏量,本年新增电子图书,当年购买的报刊种类,有效借书证数,总流通人次,书刊文献外借册次,计算机,图书馆网站访问量,实际使用公用房屋建筑面积,实际拥有产权面积,阅览室坐席数,联系电话,组织机构代码,年份
330822,常山县图书馆,324200,常山县天马街道人民路119号,二级馆,176633.0,3300.0,533.0,1892.0,0.0,0.0,0.0,105000.0,98600.0,92.0,0.0,2741.0,0.0,156.0,5017364,471971815,2016
330109,杭州市萧山图书馆,311202,萧山区市心中路958号,一级馆,2710708.0,128228.0,3906.0,83268.0,0.0,1630.0,1417784.0,2157154.0,1003882.0,169.0,69814.0,30000.0,0.0,1022.0,83869047,470450110,2016
330901,舟山市图书馆,316000,舟山市临城海天大道,一级馆,984679.0,2.87536788E8,14871.0,46040.0,1.9017326E7,1567.0,79738.0,768529.0,683388.0,189.0,183977.0,12360.0,12360.0,672.0,8063608,472092839,2017
330326,平阳县图书馆,325400,平阳县昆阳镇天来巷8号,三级馆,0.0,648163.0,324000.0,220.0,63840.0,0.0,432.0,53632.0,787861.0,464711.0,47.0,7622.0,3286.0,2236.0,242,63721597,2018
330399,温州市图书馆,325000,温州市市府路,一级馆,2337131.0,2353986.0,75600.0,258079.0,192222.0,3141.0,235411.0,2803968.0,2696752.0,326.0,1026968.0,36170.0,32000.0,2000.0,56897507,470523017,2016
330101,浙江图书馆,310007,杭州曙光路73号,一级馆,0.0,7051138.0,3205679.0,128396.0,265240.0,660259.0,6591.0,92094.0,1.0609273E7,1739851.0,716.0,2.6199516E7,57000.0,51732.0,1800,87988591,2018
331001,台州市图书馆,318000,台州市和谐路168号,一级馆,764865.0,1201850.0,17361.0,77794.0,39860.0,1349.0,93536.0,2100153.0,977478.0,167.0,852270.0,21230.0,0.0,1143.0,88221530,689992010,2017
330212,宁波市鄞州区图书馆,315100,浙江省宁波市鄞州区钱湖南路928号,一级馆,1992826.0,1390000.0,7500.0,134619.0,0.0,2581.0,628556.0,5139578.0,2561547.0,374.0,307037.0,28594.0,0.0,1901.0,88126558,419612735,2017
330825,龙游县图书馆,324400,龙游县龙洲街道文化东路534号,二级馆,196820.0,15500.0,2740.0,38917.0,2000.0,142.0,10623.0,203761.0,208076.0,38.0,552461.0,2140.0,1630.0,300.0,7021833,E96276176,2017
330824,开化县图书馆,324300,开化县城关镇6号,无等级馆,249791.0,100000.0,1480.0,14732.0,100000.0,210.0,5597.0,99814.0,94586.0,77.0,0.0,1655.0,1655.0,208.0,6014288,472001028,2016
